"file","title","center","proposalCount","rank","measures","role","layer","name","route","voiceLeading","routeCost","referenceBonus","temporalCoverage","temporalPenalty","chromaticPenalty","referenceStatus","functionAgreement","rootAgreement","chords","evidence"
"d-025-Donna Lee.musicxml","Donna Lee","C major","12","1","1 2","primary","reharmonization","Estratégia — Tonal Clássico","conservative","4.8","1.98","0.35","1","0","0","aligned","1","0.5","Cmaj7 / Fmaj7 | G7 / C6","Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: baixo sustenta movimento por quarta/quinta; Rota harmônica: rota conservadora"
"d-025-Donna Lee.musicxml","Donna Lee","C major","12","2","1 2","adventurous","reharmonization","Estratégia — Contraponto de Baixo","radical","5.53","5.47","0.35","1","0","0","aligned","1","0.5","Cmaj7 / G7/F / D7/F# | G7 / Cmaj7","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: sétima dominante sem resolução clara; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: sétima dominante resolve descendo para a terça do alvo"
"d-025-Donna Lee.musicxml","Donna Lee","C major","12","3","5 6 7","adventurous","reharmonization","Estratégia — Gramática funcional ii-V","radical","6.17","2.43","0","0.38","0.72","0.4","divergent","0","0.33","Bm7b5 | E7b13/C | Am6","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante sem resolução clara"
"d-025-Donna Lee.musicxml","Donna Lee","C major","12","4","1 2 3 4 5 6 7 8","alternative","reharmonization","Estratégia — Dominantes secundárias","chromatic","4.33","9.86","0.35","1","0","0","aligned","0.88","0.63","C | F | F | C7/E | F | C/E | Bm7b5/F / D7/F# / G7/B | C","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: baixo sustenta movimento por quarta/quinta"
"d-025-Donna Lee.musicxml","Donna Lee","C major","12","5","1 2 3 4 5 6 7 8","alternative","reharmonization","Estratégia — Função aparente","chromatic","4.13","10.35","0.5","1","0","0","aligned","0.88","0.63","C | F | F | C7/E | F | C/E | Bm7b5/F / Dm6 / G7/B | C","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: baixo sustenta movimento por quarta/quinta"
"d-025-Donna Lee.musicxml","Donna Lee","C major","12","6","1 2 3 4 5 6 7 8","alternative","reharmonization","Estratégia — Expansão funcional diatônica","chromatic","4.05","8.84","0.35","1","0","0","aligned","0.75","0.5","C | F | F | C7/E | F | C/E | Bm7b5/F / G7/B | C","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: baixo sustenta movimento por quarta/quinta"
"f-015-Firm roots.musicxml","Firm roots","C major","14","1","1 2 3 4 5 6 7 8","primary","basic","Estratégia — Harmonia básica I-IV-V","conservative","4.2","6.48","0","1","0","0","partially-aligned","0.57","0.29","C | F | F | C7/E | F | F | G7/B | C","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: baixo sustenta movimento por quarta/quinta"
"f-015-Firm roots.musicxml","Firm roots","C major","14","2","3 4 5","adventurous","reharmonization","Estratégia — Gramática funcional ii-V","radical","6.17","2.43","0","0.38","0.72","0.4","divergent","0.33","0.33","Bm7b5 | E7b13/C | Am6","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante sem resolução clara"
"f-015-Firm roots.musicxml","Firm roots","C major","14","3","1 2 3 4 5 6 7 8","alternative","basic","Estratégia — SubV7 cadencial","conservative","4.2","6.48","0","1","0","0","partially-aligned","0.57","0.29","C | F | F | C7/E | F | F | G7/B | C","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: baixo sustenta movimento por quarta/quinta"
"f-015-Firm roots.musicxml","Firm roots","C major","14","4","1 2 3 4 5 6 7 8","alternative","basic","Estratégia — ii-SubV7 cadencial","conservative","4.2","6.48","0","1","0","0","partially-aligned","0.57","0.29","C | F | F | C7/E | F | F | G7/B | C","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: baixo sustenta movimento por quarta/quinta"
