"decisionType","risk","bucketId","bucketTitle","file","title","selectedCenter","selectedCenterSource","proposalCount","referenceOverlapCount","primaryProposalName","action","primaryChords"
"Centro de referencia","medio","reference-strong","Referencia forte","a-010-After you.musicxml","After you","Bb major","reference","14","8","Estratégia — Cromático Linear","Comparar centro escolhido, baixo e cifra do autor; aceitar como ancora se a melodia nao contradiz.","Bb6 / Bdim7 / C7 / F7"
"Centro de referencia","medio","reference-strong","Referencia forte","a-006-African flower.musicxml","African flower","F minor","reference","13","8","Estratégia — Tonal Clássico","Comparar centro escolhido, baixo e cifra do autor; aceitar como ancora se a melodia nao contradiz.","Fmaj7 / Fm7/Bb / Fmaj7/C / Fm7"
"Centro de referencia","medio","reference-strong","Referencia forte","a-013-Ain't it the truth.musicxml","Ain't it the truth","Eb major","reference","12","8","Estratégia — Tonal Clássico","Comparar centro escolhido, baixo e cifra do autor; aceitar como ancora se a melodia nao contradiz.","Ebmaj7 / Bb7/Ab / Ebmaj7/Bb / Ebmaj7"
"Harmonia basica","medio","melody-first","Melodia primeiro","b-032-Blue in green.musicxml","Blue in green","Bb major","melody","11","8","Estratégia — Tonal Clássico","Validar se a proposta melodia-primeiro ja serve como resposta simples antes de usar rearmonizacao.","Bbmaj7 / F7/Eb / Bb6/F / Bbmaj7"
"Harmonia basica","baixo","melody-first","Melodia primeiro","f-033-Freight trane.musicxml","Freight trane","C major","melody","9","8","Estratégia — Vamp dominante","Validar se a proposta melodia-primeiro ja serve como resposta simples antes de usar rearmonizacao.","C13 | C13 | Bb13 | C13 | Bb13 | C13sus4 / C13 | Bb13sus4 / Bb13 | C13sus4 / C13"
"Harmonia basica","medio","melody-first","Melodia primeiro","e-011-End of a love affair.musicxml","End of a love affair","F# major","melody","5","8","Estratégia — Cromático Linear","Validar se a proposta melodia-primeiro ja serve como resposta simples antes de usar rearmonizacao.","F#maj7 / A#dim7/G / B#dim7/G / G#7"
"Ranking de propostas","medio","many-proposals","Muitas propostas","d-025-Donna Lee.musicxml","Donna Lee","C major","reference","12","8","Estratégia — Tonal Clássico","Inspecionar as alternativas; se a primaria nao for a mais cantavel, ajustar criterio de ranking.","Cmaj7 / Fmaj7 | G7 / C6"
"Ranking de propostas","alto","many-proposals","Muitas propostas","f-015-Firm roots.musicxml","Firm roots","C major","reference","14","7","Estratégia — Tonal Clássico","Inspecionar as alternativas; se a primaria nao for a mais cantavel, ajustar criterio de ranking.","Cmaj7 / G7/F / Cmaj7/G / Cmaj7"
"Ranking de propostas","medio","many-proposals","Muitas propostas","a-052-Ask me now.musicxml","Ask me now","C major","reference","12","7","Estratégia — Tonal Clássico","Inspecionar as alternativas; se a primaria nao for a mais cantavel, ajustar criterio de ranking.","Cmaj7 / Dm7/F / Gm7 / Cmaj7"
"Cromatismo","alto","chromatic-linear","Cromatico linear","c-034-Crazeology.musicxml","Crazeology","Eb major","reference","10","8","Estratégia — Cromático Linear","Ouvir se diminutos e dominantes cromaticos funcionam como conducao ou se viraram artificio.","Ebmaj7 / Adim7/E / F7 / D7/Bb"
