"bucketId","bucketTitle","question","file","title","selectedCenter","selectedCenterSource","proposalCount","referenceOverlapCount","primaryProposalName","primaryChords"
"reference-strong","Referencia forte","Quando a cifra do autor e muito presente, o centro escolhido e a proposta fazem sentido musical?","a-010-After you.musicxml","After you","Bb major","reference","14","8","Estratégia — Cromático Linear","Bb6 / Bdim7 / C7 / F7"
"reference-strong","Referencia forte","Quando a cifra do autor e muito presente, o centro escolhido e a proposta fazem sentido musical?","a-006-African flower.musicxml","African flower","F minor","reference","13","8","Estratégia — Tonal Clássico","Fmaj7 / Fm7/Bb / Fmaj7/C / Fm7"
"reference-strong","Referencia forte","Quando a cifra do autor e muito presente, o centro escolhido e a proposta fazem sentido musical?","a-013-Ain't it the truth.musicxml","Ain't it the truth","Eb major","reference","12","8","Estratégia — Tonal Clássico","Ebmaj7 / Bb7/Ab / Ebmaj7/Bb / Ebmaj7"
"melody-first","Melodia primeiro","Quando a melodia sustenta a escolha, a harmonia basica evita excesso de dependencia da referencia?","b-032-Blue in green.musicxml","Blue in green","Bb major","melody","11","8","Estratégia — Tonal Clássico","Bbmaj7 / F7/Eb / Bb6/F / Bbmaj7"
"melody-first","Melodia primeiro","Quando a melodia sustenta a escolha, a harmonia basica evita excesso de dependencia da referencia?","f-033-Freight trane.musicxml","Freight trane","C major","melody","9","8","Estratégia — Vamp dominante","C13 | C13 | Bb13 | C13 | Bb13 | C13sus4 / C13 | Bb13sus4 / Bb13 | C13sus4 / C13"
"melody-first","Melodia primeiro","Quando a melodia sustenta a escolha, a harmonia basica evita excesso de dependencia da referencia?","e-011-End of a love affair.musicxml","End of a love affair","F# major","melody","5","8","Estratégia — Cromático Linear","F#maj7 / A#dim7/G / B#dim7/G / G#7"
"many-proposals","Muitas propostas","Quando ha muitas rotas possiveis, o ranking escolhe a proposta mais clara?","d-025-Donna Lee.musicxml","Donna Lee","C major","reference","12","8","Estratégia — Tonal Clássico","Cmaj7 / Fmaj7 | G7 / C6"
"many-proposals","Muitas propostas","Quando ha muitas rotas possiveis, o ranking escolhe a proposta mais clara?","f-015-Firm roots.musicxml","Firm roots","C major","reference","14","7","Estratégia — Tonal Clássico","Cmaj7 / G7/F / Cmaj7/G / Cmaj7"
"many-proposals","Muitas propostas","Quando ha muitas rotas possiveis, o ranking escolhe a proposta mais clara?","a-052-Ask me now.musicxml","Ask me now","C major","reference","12","7","Estratégia — Tonal Clássico","Cmaj7 / Dm7/F / Gm7 / Cmaj7"
"chromatic-linear","Cromatico linear","Quando o motor escolhe cromatismo, isso soa como condução funcional ou como artificio?","c-034-Crazeology.musicxml","Crazeology","Eb major","reference","10","8","Estratégia — Cromático Linear","Ebmaj7 / Adim7/E / F7 / D7/Bb"
"chromatic-linear","Cromatico linear","Quando o motor escolhe cromatismo, isso soa como condução funcional ou como artificio?","d-017-Detour ahead.musicxml","Detour ahead","Bb major","reference","10","8","Estratégia — Cromático Linear","Bbmaj7 / Ddim7/B / Ddim7/B | Am7b5/C"
"chromatic-linear","Cromatico linear","Quando o motor escolhe cromatismo, isso soa como condução funcional ou como artificio?","e-002-E.S.P..musicxml","E.S.P.","C major","reference","9","8","Estratégia — Cromático Linear","Cmaj7 / Cdim7/Db / D7 / G#dim7/G"
