"file","sourceId","title","status","measures","noteCount","harmonyCount","rawHarmonyCount","parsedHarmonyRatio","uniqueHarmonyCount","sectionCount","keySignature","candidateScore","warnings"
"a-002-A child is born.musicxml","a","A child is born","candidate","25","67","59","59","1.000","26","0","C","68",""
"a-003-A fine romance.musicxml","a","A fine romance","needs-review","23","98","20","22","0.909","16","0","","70",""
"a-004-Actual proof.musicxml","a","Actual proof","candidate","36","214","21","22","0.955","14","2","","85",""
"a-005-Affirmation.musicxml","a","Affirmation","candidate","41","165","23","23","1.000","11","3","Db","80",""
"a-006-African flower.musicxml","a","African flower","candidate","40","75","49","49","1.000","7","0","Ab","69",""
"a-007-Afro blue.musicxml","a","Afro blue","candidate","27","87","12","12","1.000","8","0","Ab","54",""
"a-008-Afro-centric.musicxml","a","Afro-centric","candidate","26","107","11","11","1.000","7","0","","55",""
"a-009-Afro-centric.musicxml","a","Afro-centric","candidate","34","142","55","55","1.000","22","0","D","77",""
"a-010-After you.musicxml","a","After you","candidate","20","93","34","34","1.000","20","0","","71",""
"a-011-After you've gone.musicxml","a","After you've gone","candidate","26","110","44","44","1.000","21","2","","73",""
"a-012-Afternoon in Paris.musicxml","a","Afternoon in Paris","candidate","38","153","36","36","1.000","8","0","Db","79",""
"a-013-Ain't it the truth.musicxml","a","Ain't it the truth","candidate","26","110","77","78","0.987","29","3","Eb","73",""
"a-014-Ain't misbehavin.musicxml","a","Ain't misbehavin","candidate","34","109","46","47","0.979","27","3","Ab","73",""
"a-015-Airegin.musicxml","a","Airegin","candidate","34","224","54","54","1.000","13","4","Ab","88",""
"a-016-Air mail special.musicxml","a","Air mail special","needs-review","71","213","59","59","1.000","33","6","C","76","G(2): Cifra nao reconhecida pelo contrato Find Chord: (2)"
"a-017-Aja.musicxml","a","Aja","candidate","34","147","51","51","1.000","17","3","C","78",""
"a-019-Alfie.musicxml","a","Alfie","candidate","25","127","40","40","1.000","6","0","Db","75",""
"a-020-Alfie's theme.musicxml","a","Alfie's theme","candidate","50","85","54","54","1.000","15","0","C","70",""
"a-021-Alice in wonderland.musicxml","a","Alice in wonderland","candidate","23","96","37","37","1.000","11","0","D","72",""
"a-022-All alone.musicxml","a","All alone","candidate","12","37","7","7","1.000","5","0","C","38",""
"a-023-All blues.musicxml","a","All blues","candidate","35","106","45","45","1.000","24","0","F","73",""
"a-024-All in love is fair.musicxml","a","All in love is fair","candidate","30","130","45","47","0.957","17","3","G","75",""
"a-025-All my tomorrows.musicxml","a","All my tomorrows","candidate","32","85","24","24","1.000","13","0","C","70",""
"a-026-All of me.musicxml","a","All of me","candidate","33","79","37","37","1.000","16","0","Eb","69",""
"a-027-All of you.musicxml","a","All of you","candidate","48","122","88","89","0.989","40","3","C","75",""
"a-028-All or nothing at all.musicxml","a","All or nothing at all","candidate","36","90","34","34","1.000","20","0","Ab","71",""
"a-030-All the things you are.musicxml","a","All the things you are","candidate","30","81","38","38","1.000","20","3","Bb","70",""
"a-031-Almost like being in love.musicxml","a","Almost like being in love","candidate","33","86","44","44","1.000","17","0","F","70",""
"a-032-Alone together.musicxml","a","Alone together","candidate","34","121","43","43","1.000","28","3","Ab","75",""
"a-033-Along came Betty.musicxml","a","Along came Betty","candidate","31","132","58","58","1.000","29","0","C","76",""
"a-034-Always and forever.musicxml","a","Always and forever","candidate","54","109","55","55","1.000","31","0","","73",""
"a-035-Ana Maria.musicxml","a","Ana Maria","candidate","27","120","61","61","1.000","24","3","Eb","75",""
"a-037-Angel eyes.musicxml","a","Angel eyes","candidate","41","160","34","34","1.000","14","3","A","80",""
"a-038-Another star.musicxml","a","Another star","needs-review","33","138","40","40","1.000","27","0","F","47","Ab(b9): Cifra nao reconhecida pelo contrato Find Chord: (b9) | Db(#9): Cifra nao reconhecida pelo contrato Find Chord: (#9) | Gb(b6): Cifra nao reconhecida pelo contrato Find Chord: (b6)"
"a-039-Another Time.musicxml","a","Another Time","candidate","26","151","49","49","1.000","14","3","Bb","78",""
"a-040-Anthropology.musicxml","a","Anthropology","candidate","25","77","33","33","1.000","12","1","F","69",""
"a-041-Antigua.musicxml","a","Antigua","needs-review","48","329","42","44","0.955","28","0","G","79","Bb(add9)(#11): Cifra nao reconhecida pelo contrato Find Chord: (add9)(#11) | G(add9)(#11): Cifra nao reconhecida pelo contrato Find Chord: (add9)(#11)"
"a-042-April.musicxml","a","April","candidate","32","97","46","46","1.000","24","0","C","72",""
"a-045-April in Paris.musicxml","a","April in Paris","candidate","29","121","25","25","1.000","11","2","C","75",""
"a-046-April joy.musicxml","a","April joy","candidate","36","163","37","37","1.000","17","4","Eb","80",""
